class,label,concept
apple,0,plant
apple,0,a smooth surface
apple,0,fruit
apple,0,a small leaf at the top
apple,0,a long stem
apple,0,flower
apple,0,a knife
apple,0,person
apple,0,Food
apple,0,leaves
apple,0,a branch
apple,0,"smooth, green skin"
apple,0,a round shape
apple,0,"a red, green, or yellow color"
aquarium fish,1,a filter
aquarium fish,1,plant
aquarium fish,1,animal
aquarium fish,1,large fins
aquarium fish,1,aquatic animal
aquarium fish,1,Food
aquarium fish,1,a heater
aquarium fish,1,a light
aquarium fish,1,a net
aquarium fish,1,can live in a confined space
aquarium fish,1,tiny mouth
aquarium fish,1,a round shape
aquarium fish,1,vertebrate
aquarium fish,1,"a long, thick tail"
baby,2,animal
baby,2,"a small, pointed nose"
baby,2,a blanket
baby,2,a pacifier
baby,2,"a large, round head"
baby,2,tiny feet
baby,2,a diaper
baby,2,a round shape
baby,2,a toy
baby,2,tiny mouth
baby,2,mammal
baby,2,"large, black eyes"
baby,2,a crib
baby,2,a stroller
baby,2,a parent
baby,2,human
bear,3,a cave
bear,3,"a large, muscular body"
bear,3,animal
bear,3,a river
bear,3,a large number of trees
bear,3,"a large, round head"
bear,3,a pointed snout
bear,3,many legs
bear,3,furry coat
bear,3,a honeycomb
bear,3,mammal
bear,3,berries
bear,3,a large size
bear,3,vertebrate
bear,3,sharp claws
beaver,4,a kit
beaver,4,"a large, muscular body"
beaver,4,animal
beaver,4,a river
beaver,4,a large number of trees
beaver,4,logs
beaver,4,a lodge
beaver,4,webbed feet
beaver,4,person
beaver,4,"short, velvety fur"
beaver,4,"large, sharp teeth"
beaver,4,mammal
beaver,4,"a long, thick tail"
beaver,4,a family
beaver,4,vertebrate
beaver,4,a dam
beaver,4,"a small, rodent-like body"
bed,5,a mattress
bed,5,a comforter
bed,5,a blanket
bed,5,a alarm clock
bed,5,a pillow
bed,5,a headboard
bed,5,a nightstand
bed,5,a bed frame
bed,5,a box spring
bed,5,furniture
bed,5,intended for sleeping on
bed,5,a footboard
bed,5,"a large, flat surface"
bed,5,object
bee,6,animal
bee,6,arthropod
bee,6,flower
bee,6,many legs
bee,6,a bee suit
bee,6,a smoker
bee,6,a bed frame
bee,6,gloves
bee,6,a hive tool
bee,6,antennae
bee,6,a beekeeper
bee,6,a super
bee,6,a round shape
bee,6,two pairs of wings
bee,6,a insect
bee,6,black and yellow stripes
bee,6,a veil
beetle,7,a magnifying glass
beetle,7,animal
beetle,7,a pin
beetle,7,arthropod
beetle,7,wing covers
beetle,7,a jar
beetle,7,antennae
beetle,7,various sizes and shapes
beetle,7,a small leaf at the top
beetle,7,"a small, hard shell"
beetle,7,often brightly colored
beetle,7,a segmented body
beetle,7,dirt
beetle,7,many legs
beetle,7,person
beetle,7,a rock
beetle,7,a insect
beetle,7,a bug
beetle,7,two feelers
beetle,7,a tweezers
beetle,7,a hard exoskeleton
bicycle,8,a bicycle seat
bicycle,8,a lock
bicycle,8,two wheels of equal size
bicycle,8,mode of transportation
bicycle,8,a tire
bicycle,8,a bed frame
bicycle,8,a frame connecting the wheels
bicycle,8,pedals attached to the frame
bicycle,8,a pedal
bicycle,8,a chain
bicycle,8,a handlebar
bicycle,8,a helmet
bicycle,8,a seat affixed to the frame
bicycle,8,object
bottle,9,a long neck
bottle,9,container
bottle,9,a label or design
bottle,9,a napkin
bottle,9,a coaster
bottle,9,a sturdy base
bottle,9,a bottle opener
bottle,9,a screw-top or corked top
bottle,9,"a tall, slender shape"
bottle,9,person
bottle,9,a sturdy build
bottle,9,a glass
bottle,9,a drink
bottle,9,a small opening at the top
bottle,9,a bar
bottle,9,a round shape
bottle,9,object
bowl,10,container
bowl,10,a smooth surface
bowl,10,a forked tail
bowl,10,a rim around the top
bowl,10,person
bowl,10,Food
bowl,10,a spoon
bowl,10,a kitchen
bowl,10,a food dish
bowl,10,a small opening at the top
bowl,10,a round shape
bowl,10,a deep body
bowl,10,object
boy,11,wears clothes
boy,11,a toy
boy,11,gloves
boy,11,a skateboard
boy,11,a playground
boy,11,a helmet
boy,11,a baseball
boy,11,has a short haircut
boy,11,a male human child
boy,11,a hat
boy,11,a basketball
boy,11,between the ages of 0 and 12
boy,11,a pants
boy,11,shoes
boy,11,person
boy,11,a school
boy,11,a shirt
boy,11,has a gender
boy,11,male
boy,11,has a boyish face
boy,11,a scooter
boy,11,a soccer ball
bridge,12,a structure that spans a gap
bridge,12,a body of water
bridge,12,a vehicle
bridge,12,a river
